architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
cnn,rotation,33,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.9361111111111111,0.273436963558197,54,72,1868,1.3834372229998735
cnn,rotation,44,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.925,0.29644694924354553,36,54,1868,1.0275203830001374
cnn,rotation,55,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.95,0.2072405070066452,67,85,1868,1.6162550159997409
cnn,rotation,11,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9444444444444444,0.21164724230766296,18,36,1868,0.6813600559999031
cnn,rotation,22,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9527777777777777,0.2247617244720459,47,65,1868,1.2472791079999297
cnn,rotation,33,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9388888888888889,0.2481723427772522,23,41,1868,0.7986362840001675
cnn,rotation,44,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9333333333333333,0.2480531483888626,15,33,1868,0.6741519150000386
cnn,rotation,55,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9555555555555556,0.17270199954509735,59,77,1868,1.4981648029997814
cnn,rotation,11,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9416666666666667,0.21690495312213898,85,103,1990,2.2523230670003613
cnn,rotation,22,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9416666666666667,0.3013289272785187,59,77,1990,1.6810925250001674
cnn,rotation,33,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9416666666666667,0.28583788871765137,89,107,1990,2.356433118000041
cnn,rotation,44,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9333333333333333,0.2596815228462219,60,78,1990,1.7364069109999036
cnn,rotation,55,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9472222222222222,0.19949544966220856,84,102,1990,2.285914792999847
cnn,rotation,11,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9444444444444444,0.20296087861061096,34,52,1990,1.1311035200001243
