scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
contrast,33,Full fine-tuning,0,0.0001,0.9611111111111111,0.9258730455419208,17,35,17226,0.9666666666666667,0.9666513744238581,0.9507344393770611,0.9305555555555556,0.9300530726256186
contrast,33,LoRA,1,0.01,0.9527777777777777,0.7486667953214428,6,24,458,0.9555555555555556,0.9555876877262401,0.7751361587743008,0.6611111111111111,0.6728058475786307
contrast,33,LoRA,2,0.01,0.9527777777777777,0.6703699298574599,5,23,916,0.9388888888888889,0.9389033384882888,0.6993278445242704,0.7638888888888888,0.7745616173302377
contrast,33,LoRA,4,0.01,0.9527777777777777,0.24909230669849936,61,79,1832,0.9472222222222222,0.9471908456571947,0.17907637008316932,0.8833333333333333,0.8804062447829051
contrast,33,LoRA,8,0.003,0.9527777777777777,0.6579254951959754,6,24,3664,0.9527777777777777,0.952578543242599,0.6814047336018818,0.7722222222222223,0.7793907739741603
contrast,33,DoRA,1,0.03,0.9638888888888889,0.13253929284571098,36,54,660,0.9555555555555556,0.955560965968947,0.12969984125581327,0.875,0.8712622307833602
contrast,33,DoRA,2,0.01,0.9611111111111111,0.2210233017289808,20,38,1118,0.9444444444444444,0.9445203774304094,0.22430720574208618,0.8,0.8068114660443593
contrast,33,DoRA,4,0.003,0.9472222222222222,0.4101869332273219,17,35,2034,0.9305555555555556,0.9301114705267945,0.44020258191550354,0.775,0.7736417225373755
contrast,33,DoRA,8,0.003,0.9555555555555556,0.6341204990034621,6,24,3866,0.9472222222222222,0.9467949399713198,0.6589068256586553,0.775,0.7844463383693532
contrast,44,Frozen,0,0.0,0.7722222222222223,1.200650383455061,0,0,0,0.775,0.7329448733881521,1.2232364796395894,0.975,0.9750206860286077
contrast,44,Magnitude-only,0,0.03,0.9694444444444444,0.1165768885813496,18,36,202,0.9722222222222222,0.9722021767997184,0.09921713588401053,0.9138888888888889,0.9175952315198378
contrast,44,Full fine-tuning,0,0.0003,0.9555555555555556,0.8167002487889461,9,27,17226,0.9638888888888889,0.9638447023122284,0.8405569767195685,0.9,0.8956677483562474
contrast,44,LoRA,1,0.003,0.9444444444444444,0.7064831185151639,19,37,458,0.9444444444444444,0.9449107851286135,0.7304780150165824,0.6527777777777778,0.6587797349809683
